iter	Passed	Remaining
186	1004	4365
187	1009	4361
188	1014	4353
189	1019	4348
190	1025	4343
191	1030	4338
192	1035	4331
193	1041	4325
194	1046	4321
195	1052	4316
196	1057	4310
197	1062	4303
198	1068	4299
199	1073	4294
200	1079	4291
201	1085	4287
202	1090	4280
203	1095	4276
204	1101	4272
205	1106	4266
206	1112	4259
207	1117	4256
208	1123	4252
209	1128	4245
210	1134	4241
211	1139	4236
212	1145	4231
213	1150	4227
214	1156	4221
215	1161	4216
216	1166	4210
217	1171	4203
218	1177	4199
219	1182	4192
220	1187	4186
221	1192	4179
222	1197	4172
223	1202	4166
224	1208	4161
225	1213	4156
226	1219	4151
227	1224	4147
228	1230	4142
229	1235	4135
230	1241	4132
231	1247	4128
232	1252	4124
233	1258	4119
234	1264	4115
235	1269	4110
236	1275	4106
237	1281	4103
238	1286	4097
239	1292	4092
240	1297	4085
241	1303	4081
242	1308	4076
243	1314	4072
244	1319	4065
245	1324	4060
246	1330	4055
247	1335	4049
248	1340	4043
249	1345	4037
250	1351	4032
251	1356	4026
252	1362	4022
253	1368	4018
254	1374	4014
255	1378	4007
256	1385	4004
257	1390	4000
258	1396	3996
259	1402	3991
260	1407	3986
261	1413	3980
262	1419	3976
263	1424	3972
264	1430	3968
265	1436	3963
266	1441	3957
267	1447	3952
268	1452	3947
269	1458	3943
270	1464	3938
271	1469	3933
272	1475	3929
273	1480	3922
274	1485	3917
275	1490	3909
276	1495	3903
277	1500	3897
278	1505	3890
279	1511	3886
280	1516	3879
281	1521	3872
282	1526	3866
283	1532	3862
284	1537	3856
285	1542	3851
286	1548	3845
287	1553	3841
288	1558	3835
289	1564	3829
290	1569	3824
291	1574	3818
292	1580	3813
293	1585	3807
294	1590	3801
295	1596	3796
296	1602	3792
297	1607	3787
298	1613	3781
299	1618	3776
300	1624	3771
301	1629	3766
302	1635	3761
303	1640	3756
304	1646	3751
305	1651	3745
306	1656	3739
307	1661	3732
308	1666	3727
309	1672	3723
310	1677	3717
311	1682	3710
312	1687	3704
313	1693	3698
314	1698	3693
315	1704	3688
316	1709	3683
317	1715	3679
318	1721	3673
319	1725	3667
320	1731	3662
321	1737	3657
322	1742	3652
323	1748	3648
324	1754	3644
325	1760	3639
326	1765	3633
327	1770	3627
328	1776	3623
329	1781	3617
330	1786	3611
331	1792	3607
332	1798	3602
333	1803	3596
334	1808	3590
335	1814	3585
336	1820	3582
337	1826	3576
338	1831	3571
339	1837	3567
340	1843	3562
341	1848	3556
342	1853	3550
343	1858	3544
344	1862	3536
345	1868	3531
346	1873	3526
347	1879	3521
348	1885	3516
349	1890	3511
350	1896	3507
351	1901	3501
352	1907	3495
353	1912	3490
354	1918	3485
355	1922	3478
356	1928	3474
357	1933	3467
358	1939	3462
359	1944	3456
360	1950	3452
361	1955	3446
362	1961	3441
363	1966	3435
364	1972	3431
365	1977	3425
366	1983	3420
367	1988	3415
368	1993	3409
369	1998	3403
370	2004	3398
371	2010	3393
372	2015	3387
373	2020	3382
374	2025	3375
375	2030	3369
376	2036	3364
377	2041	3359
378	2046	3353
379	2051	3347
380	2057	3342
381	2062	3336
382	2067	3331
383	2073	3326
384	2079	3321
385	2083	3314
386	2089	3309
387	2095	3304
388	2100	3298
389	2105	3292
390	2109	3286
391	2115	3280
392	2120	3275
393	2126	3269
394	2131	3264
395	2137	3260
396	2143	3255
397	2149	3250
398	2154	3244
399	2159	3239
400	2165	3234
401	2170	3228
402	2175	3223
403	2181	3217
404	2186	3212
405	2190	3205
406	2197	3201
407	2202	3196
408	2207	3190
409	2212	3184
410	2218	3178
411	2223	3172
412	2228	3166
413	2233	3161
414	2238	3155
415	2244	3151
416	2250	3146
417	2256	3141
418	2261	3135
419	2266	3130
420	2271	3124
421	2277	3119
422	2283	3114
423	2288	3109
424	2293	3102
425	2298	3096
426	2304	3092
427	2310	3087
428	2315	3082
429	2321	3077
430	2326	3071
431	2331	3065
432	2337	3060
433	2342	3055
434	2348	3050
435	2353	3045
436	2359	3039
437	2364	3034
438	2369	3027
439	2375	3023
440	2380	3017
441	2386	3012
442	2391	3006
443	2396	3000
444	2401	2995
445	2406	2989
446	2412	2984
447	2417	2978
448	2422	2972
449	2427	2967
450	2432	2961
451	2438	2956
452	2443	2950
453	2449	2945
454	2454	2940
455	2460	2935
456	2465	2929
457	2470	2923
458	2475	2918
459	2480	2911
460	2485	2906
461	2490	2900
462	2495	2894
463	2502	2890
464	2507	2884
465	2511	2878
466	2517	2873
467	2522	2867
468	2527	2861
469	2532	2855
470	2538	2850
471	2544	2846
472	2549	2840
473	2555	2835
474	2561	2830
475	2566	2825
476	2572	2820
477	2577	2814
478	2583	2809
479	2588	2804
480	2594	2799
481	2599	2793
482	2604	2787
483	2610	2782
484	2615	2777
485	2620	2771
486	2626	2766
487	2632	2761
488	2638	2756
489	2643	2751
490	2649	2746
491	2654	2741
492	2660	2736
493	2665	2730
494	2672	2726
495	2677	2721
496	2683	2715
497	2689	2710
498	2694	2705
499	2700	2700
500	2704	2694
501	2710	2688
502	2716	2684
503	2722	2679
504	2727	2673
505	2733	2668
506	2739	2663
507	2744	2658
508	2750	2653
509	2755	2647
510	2761	2642
511	2767	2637
512	2772	2632
513	2778	2626
514	2784	2622
515	2790	2617
516	2795	2611
517	2800	2606
518	2805	2600
519	2810	2594
520	2815	2588
521	2821	2583
522	2827	2578
523	2832	2572
524	2838	2567
525	2843	2562
526	2848	2556
527	2853	2551
528	2859	2546
529	2865	2541
530	2871	2536
531	2877	2531
532	2882	2525
533	2888	2520
534	2893	2515
535	2898	2509
536	2904	2504
537	2909	2498
538	2914	2493
539	2919	2487
540	2924	2481
541	2930	2476
542	2936	2471
543	2941	2465
544	2946	2459
545	2951	2454
546	2956	2448
547	2962	2443
548	2968	2438
549	2973	2433
550	2979	2427
551	2985	2422
552	2991	2417
553	2996	2412
554	3001	2406
555	3007	2401
556	3013	2396
557	3018	2391
558	3024	2386
559	3029	2380
560	3035	2375
561	3040	2369
562	3046	2364
563	3051	2359
564	3057	2353
565	3062	2348
566	3067	2342
567	3073	2337
568	3078	2332
569	3084	2327
570	3090	2322
571	3096	2316
572	3101	2311
573	3106	2305
574	3111	2299
575	3116	2294
576	3122	2288
577	3127	2283
578	3132	2277
579	3138	2272
580	3143	2266
581	3148	2261
582	3154	2256
583	3160	2251
584	3166	2246
585	3171	2240
586	3175	2234
587	3181	2228
588	3186	2223
589	3191	2217
590	3197	2212
591	3201	2206
592	3206	2200
593	3212	2195
594	3217	2190
595	3222	2184
596	3228	2179
597	3234	2174
598	3240	2169
599	3245	2163
600	3250	2158
601	3256	2153
602	3261	2147
603	3267	2142
604	3272	2136
605	3278	2131
606	3283	2125
607	3288	2120
608	3293	2114
609	3298	2108
610	3304	2103
611	3309	2097
612	3314	2092
613	3320	2087
614	3326	2082
615	3331	2077
616	3336	2071
617	3342	2066
618	3348	2061
619	3354	2056
620	3360	2051
621	3366	2046
622	3372	2040
623	3378	2035
624	3383	2030
625	3389	2025
626	3394	2019
627	3400	2014
628	3405	2008
629	3411	2003
630	3417	1998
631	3422	1992
632	3427	1987
633	3432	1981
634	3437	1976
635	3444	1971
636	3449	1965
637	3454	1960
638	3460	1954
639	3466	1949
640	3471	1944
641	3477	1939
642	3482	1933
643	3487	1928
644	3496	1924
645	3502	1919
646	3507	1913
647	3512	1907
648	3517	1902
649	3523	1897
650	3528	1891
651	3534	1886
652	3540	1881
653	3545	1875
654	3550	1870
655	3556	1865
656	3562	1859
657	3568	1854
658	3573	1848
659	3578	1843
660	3583	1837
661	3589	1832
662	3595	1827
663	3600	1822
664	3606	1816
665	3611	1811
666	3617	1805
667	3622	1800
668	3627	1794
669	3633	1789
670	3638	1783
671	3643	1778
672	3649	1773
673	3654	1767
674	3660	1762
675	3664	1756
676	3671	1751
677	3677	1746
678	3683	1741
679	3689	1736
680	3695	1730
681	3700	1725
682	3706	1720
683	3711	1714
684	3717	1709
685	3722	1704
686	3728	1698
687	3734	1693
688	3740	1688
689	3745	1682
690	3750	1677
691	3755	1671
692	3761	1666
693	3766	1660
694	3771	1655
695	3776	1649
696	3782	1644
697	3788	1639
698	3794	1633
699	3799	1628
700	3805	1623
701	3811	1617
702	3816	1612
703	3821	1606
704	3826	1601
705	3832	1595
706	3837	1590
707	3842	1584
708	3847	1579
709	3853	1574
710	3859	1568
711	3865	1563
712	3870	1558
713	3876	1552
714	3881	1547
715	3886	1541
716	3892	1536
717	3897	1530
718	3903	1525
719	3908	1520
720	3914	1514
721	3919	1509
722	3924	1503
723	3929	1497
724	3934	1492
725	3940	1487
726	3946	1482
727	3952	1476
728	3958	1471
729	3963	1465
730	3969	1460
731	3975	1455
732	3980	1449
733	3985	1444
734	3990	1438
735	3996	1433
736	4001	1427
737	4007	1422
738	4013	1417
739	4018	1411
740	4023	1406
741	4029	1401
742	4034	1395
743	4040	1390
744	4045	1384
745	4050	1379
746	4055	1373
747	4060	1368
748	4066	1362
749	4071	1357
750	4076	1351
751	4082	1346
752	4088	1341
753	4093	1335
754	4098	1330
755	4104	1324
756	4110	1319
757	4115	1313
758	4120	1308
759	4126	1303
760	4131	1297
761	4137	1292
762	4142	1286
763	4148	1281
764	4154	1276
765	4160	1270
766	4165	1265
767	4171	1260
768	4176	1254
769	4182	1249
770	4187	1243
771	4193	1238
772	4198	1232
773	4204	1227
774	4209	1222
775	4214	1216
776	4219	1211
777	4225	1205
778	4231	1200
779	4236	1194
780	4242	1189
781	4247	1184
782	4252	1178
783	4258	1173
784	4264	1167
785	4270	1162
786	4275	1157
787	4281	1151
788	4286	1146
789	4292	1140
790	4298	1135
791	4303	1130
792	4308	1124
793	4313	1119
794	4319	1113
795	4325	1108
796	4330	1102
797	4335	1097
798	4340	1091
799	4347	1086
800	4352	1081
801	4359	1076
802	4364	1070
803	4369	1065
804	4375	1059
805	4380	1054
806	4386	1049
807	4392	1043
808	4398	1038
809	4403	1032
810	4408	1027
811	4413	1021
812	4419	1016
813	4424	1011
814	4429	1005
815	4435	1000
816	4441	994
817	4446	989
818	4452	984
819	4458	978
820	4463	973
821	4469	967
822	4474	962
823	4480	957
824	4486	951
825	4491	946
826	4496	940
827	4502	935
828	4507	929
829	4512	924
830	4518	918
831	4523	913
832	4527	907
833	4533	902
834	4539	897
835	4544	891
836	4549	886
837	4555	880
838	4561	875
839	4566	869
840	4571	864
841	4578	859
842	4584	853
843	4589	848
844	4594	842
845	4600	837
846	4606	832
847	4611	826
848	4616	821
849	4621	815
850	4626	810
851	4631	804
852	4637	799
853	4642	793
854	4647	788
855	4653	782
856	4659	777
857	4664	771
858	4670	766
859	4676	761
860	4681	755
861	4686	750
862	4692	744
863	4696	739
864	4702	733
865	4709	728
866	4714	723
867	4719	717
868	4724	712
869	4729	706
870	4734	701
871	4739	695
872	4746	690
873	4751	685
874	4757	679
875	4762	674
876	4767	668
877	4773	663
878	4778	657
879	4783	652
880	4789	646
881	4795	641
882	4801	636
883	4806	630
884	4812	625
885	4817	619
886	4822	614
887	4828	609
888	4834	603
889	4839	598
890	4845	592
891	4850	587
892	4856	581
893	4861	576
894	4866	570
895	4871	565
896	4877	560
897	4881	554
898	4887	549
899	4892	543
900	4898	538
901	4904	532
902	4910	527
903	4915	522
904	4921	516
905	4927	511
906	4933	505
907	4938	500
908	4944	494
909	4949	489
910	4955	484
911	4959	478
912	4964	473
913	4970	467
914	4976	462
915	4981	456
916	4986	451
917	4991	445
918	4996	440
919	5002	434
920	5008	429
921	5013	424
922	5018	418
923	5023	413
924	5028	407
925	5033	402
926	5039	396
927	5044	391
928	5049	385
929	5055	380
930	5061	375
931	5067	369
932	5073	364
933	5077	358
934	5083	353
935	5088	347
936	5094	342
937	5100	337
938	5105	331
939	5110	326
940	5115	320
941	5121	315
942	5126	309
943	5131	304
944	5137	298
945	5142	293
946	5147	288
947	5152	282
948	5158	277
949	5164	271
950	5169	266
951	5175	260
952	5180	255
953	5186	250
954	5191	244
955	5196	239
956	5201	233
957	5208	228
958	5213	222
959	5219	217
960	5225	212
961	5231	206
962	5236	201
963	5240	195
964	5246	190
965	5251	184
966	5257	179
967	5262	173
968	5267	168
969	5273	163
970	5278	157
971	5283	152
972	5288	146
973	5294	141
974	5299	135
975	5305	130
976	5311	125
977	5316	119
978	5321	114
979	5326	108
980	5332	103
981	5338	97
982	5343	92
983	5349	86
984	5354	81
985	5360	76
986	5365	70
987	5371	65
988	5376	59
989	5381	54
990	5387	48
991	5392	43
992	5397	38
993	5403	32
994	5408	27
995	5414	21
996	5419	16
997	5425	10
998	5431	5
999	5437	0
